1 | activity grocery store |   funded 3225 |  country BO |   journal_entries 0 | 
1 | activity restaurant |   funded 4650 |  country BO |   journal_entries 0 | 
1 | activity cosmetics sales |   funded 3275 |  country BO |   journal_entries 0 | 
1 | activity fruits & vegetables |   funded 575 |  country BO |   journal_entries 2 | 
1 | activity transportation |   funded 400 |  country BO |   journal_entries 1 | 
1 | activity clothing sales |   funded 325 |  country BO |   journal_entries 2 | 
1 | activity spare parts |   funded 1000 |  country BO |   journal_entries 1 | 
1 | activity clothing sales |   funded 500 |  country BO |   journal_entries 3 | 
1 | activity general store |   funded 1000 |  country BO |   journal_entries 3 | 
1 | activity manufacturing |   funded 600 |  country BO |   journal_entries 1 | 
1 | activity call center |   funded 225 |  country BO |   journal_entries 2 | 
1 | activity health |   funded 1000 |  country BO |   journal_entries 1 | 
1 | activity services |   funded 1000 |  country BO |   journal_entries 1 | 
1 | activity food market |   funded 875 |  country BO |   journal_entries 2 | 
1 | activity food production/sales |   funded 2425 |  country BO |   journal_entries 2 | 
1 | activity services |   funded 1800 |  country BO |   journal_entries 1 | 
1 | activity farming |   funded 700 |  country BO |   journal_entries 0 | 
1 | activity manufacturing |   funded 500 |  country BO |   journal_entries 2 | 
1 | activity cosmetics sales |   funded 525 |  country BO |   journal_entries 2 | 
1 | activity catering |   funded 1000 |  country BO |   journal_entries 2 | 
1 | activity used clothing |   funded 425 |  country BO |   journal_entries 2 | 
1 | activity crafts |   funded 4050 |  country BO |   journal_entries 0 | 
1 | activity clothing sales |   funded 4000 |  country BO |   journal_entries 0 | 
1 | activity catering |   funded 4100 |  country BO |   journal_entries 0 | 
1 | activity fruits & vegetables |   funded 3725 |  country BO |   journal_entries 0 | 
1 | activity embroidery |   funded 3800 |  country BO |   journal_entries 0 | 
1 | activity bakery |   funded 2575 |  country BO |   journal_entries 0 | 
1 | activity farming |   funded 3950 |  country BO |   journal_entries 0 | 
1 | activity clothing sales |   funded 3975 |  country BO |   journal_entries 0 | 
1 | activity embroidery |   funded 3000 |  country BO |   journal_entries 0 | 
1 | activity crafts |   funded 3650 |  country BO |   journal_entries 0 | 
1 | activity upholstery |   funded 4025 |  country BO |   journal_entries 0 | 
1 | activity clothing sales |   funded 2375 |  country BO |   journal_entries 0 | 
1 | activity fruits & vegetables |   funded 3375 |  country BO |   journal_entries 0 | 
1 | activity embroidery |   funded 300 |  country BO |   journal_entries 3 | 
1 | activity clothing sales |   funded 400 |  country BO |   journal_entries 3 | 
1 | activity electronics repair |   funded 300 |  country BO |   journal_entries 3 | 
1 | activity milk sales |   funded 825 |  country BO |   journal_entries 3 | 
1 | activity milk sales |   funded 825 |  country BO |   journal_entries 3 | 
1 | activity milk sales |   funded 325 |  country BO |   journal_entries 3 | 
1 | activity dairy |   funded 1025 |  country BO |   journal_entries 3 | 
1 | activity dairy |   funded 625 |  country BO |   journal_entries 3 | 
1 | activity dairy |   funded 825 |  country BO |   journal_entries 3 | 
1 | activity retail |   funded 900 |  country BO |   journal_entries 3 | 
1 | activity general store |   funded 800 |  country BO |   journal_entries 3 | 
1 | activity transportation |   funded 600 |  country BO |   journal_entries 3 | 
1 | activity crafts |   funded 100 |  country BO |   journal_entries 3 | 
1 | activity crafts |   funded 300 |  country BO |   journal_entries 3 | 
1 | activity traveling sales |   funded 1000 |  country BO |   journal_entries 3 | 
1 | activity primary/secondary school costs |   funded 600 |  country BO |   journal_entries 3 | 
1 | activity taxi |   funded 600 |  country BO |   journal_entries 3 | 
1 | activity recycling |   funded 100 |  country BO |   journal_entries 3 | 
1 | activity internet cafe |   funded 600 |  country BO |   journal_entries 3 | 
1 | activity taxi |   funded 750 |  country BO |   journal_entries 2 | 
1 | activity milk sales |   funded 525 |  country BO |   journal_entries 2 | 
1 | activity milk sales |   funded 525 |  country BO |   journal_entries 2 | 
1 | activity taxi |   funded 800 |  country BO |   journal_entries 3 | 
1 | activity milk sales |   funded 525 |  country BO |   journal_entries 2 | 
1 | activity transportation |   funded 800 |  country BO |   journal_entries 2 | 
1 | activity services |   funded 500 |  country BO |   journal_entries 3 | 
1 | activity cosmetics sales |   funded 500 |  country BO |   journal_entries 3 | 
1 | activity primary/secondary school costs |   funded 250 |  country BO |   journal_entries 3 | 
1 | activity construction |   funded 500 |  country BO |   journal_entries 3 | 
1 | activity construction |   funded 400 |  country BO |   journal_entries 3 | 
1 | activity services |   funded 400 |  country BO |   journal_entries 3 | 
1 | activity dairy |   funded 800 |  country BO |   journal_entries 4 | 
1 | activity utilities |   funded 500 |  country BO |   journal_entries 3 | 
1 | activity transportation |   funded 400 |  country BO |   journal_entries 3 | 
1 | activity clothing sales |   funded 400 |  country BO |   journal_entries 3 | 
1 | activity secretarial services |   funded 250 |  country BO |   journal_entries 3 | 
1 | activity bakery |   funded 400 |  country BO |   journal_entries 3 | 
1 | activity electrician |   funded 250 |  country BO |   journal_entries 3 | 
1 | activity construction |   funded 200 |  country BO |   journal_entries 3 | 
1 | activity retail |   funded 400 |  country BO |   journal_entries 2 | 
1 | activity crafts |   funded 300 |  country BO |   journal_entries 3 | 
1 | activity perfumes |   funded 600 |  country BO |   journal_entries 2 | 
1 | activity taxi |   funded 600 |  country BO |   journal_entries 3 | 
1 | activity services |   funded 350 |  country BO |   journal_entries 2 | 
1 | activity crafts |   funded 700 |  country BO |   journal_entries 2 | 
1 | activity transportation |   funded 400 |  country BO |   journal_entries 3 | 
1 | activity tailoring |   funded 350 |  country BO |   journal_entries 3 | 
1 | activity services |   funded 500 |  country BO |   journal_entries 2 | 
1 | activity services |   funded 500 |  country BO |   journal_entries 3 | 
1 | activity utilities |   funded 1000 |  country BO |   journal_entries 2 | 
1 | activity services |   funded 500 |  country BO |   journal_entries 3 | 
1 | activity musical performance |   funded 300 |  country BO |   journal_entries 2 | 
1 | activity transportation |   funded 150 |  country BO |   journal_entries 3 | 
1 | activity taxi |   funded 700 |  country BO |   journal_entries 2 | 
1 | activity cheese making |   funded 100 |  country BO |   journal_entries 3 | 
1 | activity fruits & vegetables |   funded 4050 |  country BO |   journal_entries 0 | 
1 | activity bakery |   funded 3700 |  country BO |   journal_entries 0 | 
1 | activity traveling sales |   funded 700 |  country BO |   journal_entries 1 | 
1 | activity construction |   funded 575 |  country BO |   journal_entries 1 | 
1 | activity clothing sales |   funded 1000 |  country BO |   journal_entries 2 | 
1 | activity clothing sales |   funded 575 |  country BO |   journal_entries 0 | 
1 | activity restaurant |   funded 575 |  country BO |   journal_entries 2 | 
1 | activity clothing sales |   funded 4300 |  country BO |   journal_entries 0 | 
1 | activity secretarial services |   funded 1000 |  country BO |   journal_entries 2 | 
1 | activity transportation |   funded 1000 |  country BO |   journal_entries 1 | 
1 | activity services |   funded 3875 |  country BO |   journal_entries 2 | 
1 | activity services |   funded 3650 |  country BO |   journal_entries 2 | 
1 | activity services |   funded 2100 |  country BO |   journal_entries 2 | 
